State,CityID,CityName,Population,MonitoringStation,DistanceFromState,Pollutant,DangerousLevel,AlertMessage
Uttar Pradesh,UP15,Kanpur Nagar,180000,Kanpur Nagar Station,110.2,PM2.5,130,Moderate

Madhya Pradesh,MP01,Bhopal,1840000,Habibganj Station,150.2,PM2.5,170,Unhealthy
Madhya Pradesh,MP02,Indore,2700000,Rajwada Station,140.3,PM10,160,Unhealthy
Madhya Pradesh,MP03,Gwalior,1000000,City Centre Station,130.4,SO2,150,Unhealthy
Madhya Pradesh,MP04,Jabalpur,1450000,Jabalpur Station,120.5,NOx,140,Unhealthy
Madhya Pradesh,MP05,Ujjain,500000,Ujjain Station,110.3,PM2.5,130,Moderate
Madhya Pradesh,MP06,Sagar,300000,Sagar Station,105.2,CO2,120,Moderate
Madhya Pradesh,MP07,Satna,250000,Satna Station,100.2,PM10,115,Moderate
Madhya Pradesh,MP08,Khandwa,150000,Khandwa Station,95.4,SO2,110,Moderate
Madhya Pradesh,MP09,Ratlam,150000,Ratlam Station,90.3,NOx,100,Moderate
Madhya Pradesh,MP10,Chhindwara,200000,Chhindwara Station,85.2,PM2.5,95,Moderate
Madhya Pradesh,MP11,Mandsaur,150000,Mandsaur Station,80.2,CO2,90,Good
Madhya Pradesh,MP12,Shivpuri,100000,Shivpuri Station,75.3,PM10,85,Good
Madhya Pradesh,MP13,Hoshangabad,180000,Hoshangabad Station,70.1,SO2,80,Good
Madhya Pradesh,MP14,Betul,200000,Betul Station,65.3,NOx,75,Good
Madhya Pradesh,MP15,Narsinghpur,180000,Narsinghpur Station,60.5,PM2.5,70,Good

Chhattisgarh,CG01,Raipur,1030000,Raipur Station,180.4,PM2.5,200,Unhealthy
Chhattisgarh,CG02,Bilaspur,330000,Bilaspur Station,170.3,PM10,190,Unhealthy
Chhattisgarh,CG03,Durg,268000,Durg Station,160.2,SO2,180,Unhealthy
Chhattisgarh,CG04,Korba,400000,Korba Station,150.4,NOx,170,Unhealthy
Chhattisgarh,CG05,Raigarh,300000,Raigarh Station,140.5,PM2.5,160,Unhealthy
Chhattisgarh,CG06,Jagdalpur,150000,Jagdalpur Station,130.3,CO2,150,Unhealthy
Chhattisgarh,CG07,Ambikapur,120000,Ambikapur Station,120.1,PM10,140,Unhealthy
Chhattisgarh,CG08,Bilaspur,200000,Bilaspur Station,115.5,SO2,130,Moderate
Chhattisgarh,CG09,Raigarh,150000,Raigarh Station,110.3,NOx,120,Moderate
Chhattisgarh,CG10,Korba,250000,Korba Station,105.4,PM2.5,115,Moderate
Chhattisgarh,CG11,Dhamtari,100000,Dhamtari Station,95.3,CO2,105,Moderate
Chhattisgarh,CG12,Rajim,80000,Rajim Station,90.4,PM10,100,Moderate
Chhattisgarh,CG13,Bilaspur,120000,Bilaspur Station,85.7,SO2,95,Good
Chhattisgarh,CG14,Ambikapur,130000,Ambikapur Station,80.2,NOx,90,Good
Chhattisgarh,CG15,Raipur,300000,Raipur Station,75.1,PM2.5,85,Good

Gujarat,GJ01,Ahemdabad,5570000,Sarkhej Station,190.2,PM2.5,210,Unhealthy
Gujarat,GJ02,Surat,4470000,Surat Station,180.3,PM10,200,Unhealthy
Gujarat,GJ03,Vadodara,2030000,Vadodara Station,170.4,SO2,190,Unhealthy
Gujarat,GJ04,Rajkot,1700000,Rajkot Station,160.2,NOx,180,Unhealthy
Gujarat,GJ05,Bhavnagar,600000,Bhavnagar Station,150.3,PM2.5,160,Unhealthy
Gujarat,GJ06,Gandhinagar,200000,Gandhinagar Station,140.4,CO2,150,Unhealthy
Gujarat,GJ07,Junagadh,300000,Junagadh Station,130.2,PM10,140,Unhealthy
Gujarat,GJ08,Jamnagar,600000,Jamnagar Station,120.5,SO2,130,Unhealthy
Gujarat,GJ09,Navsari,500000,Navsari Station,110.2,NOx,120,Moderate
Gujarat,GJ10,Anand,180000,Anand Station,100.3,PM2.5,110,Moderate
Gujarat,GJ11,Mehsana,150000,Mehsana Station,90.4,CO2,100,Moderate
Gujarat,GJ12,Morbi,200000,Morbi Station,85.7,PM10,95,Moderate
Gujarat,GJ13,Dholka,100000,Dholka Station,80.2,SO2,90,Moderate
Gujarat,GJ14,Valsad,180000,Valsad Station,75.1,NOx,85,Good
Gujarat,GJ15,Rajpipla,130000,Rajpipla Station,70.3,PM2.5,80,Good

Uttarakhand,UK01,Dehradun,578000,Rajpur Road Station,150.4,PM2.5,170,Unhealthy
Uttarakhand,UK02,Haridwar,650000,Haridwar Station,140.2,PM10,160,Unhealthy
Uttarakhand,UK03,Nainital,180000,Nainital Station,130.4,SO2,150,Unhealthy
Uttarakhand,UK04,Rishikesh,200000,Rishikesh Station,120.3,NOx,140,Unhealthy
Uttarakhand,UK05,Haldwani,160000,Haldwani Station,110.2,PM2.5,130,Unhealthy
Uttarakhand,UK06,Mussoorie,150000,Mussoorie Station,100.1,CO2,120,Unhealthy
Uttarakhand,UK07,Pauri,250000,Pauri Station,95.4,PM10,110,Moderate
Uttarakhand,UK08,Rudrapur,220000,Rudrapur Station,90.3,SO2,100,Moderate
Uttarakhand,UK09,Kotdwar,120000,Kotdwar Station,85.2,NOx,90,Moderate
Uttarakhand,UK10,Kashipur,200000,Kashipur Station,80.2,PM2.5,85,Moderate
Uttarakhand,UK11,Bijnor,300000,Bijnor Station,75.3,CO2,80,Good
Uttarakhand,UK12,Champawat,100000,Champawat Station,70.1,PM10,75,Good
Uttarakhand,UK13,Almora,120000,Almora Station,65.2,SO2,70,Good
Uttarakhand,UK14,Nanakmatta,80000,Nanakmatta Station,60.4,NOx,65,Good
Uttarakhand,UK15,Ranikhet,50000,Ranikhet Station,55.3,PM2.5,60,Good

Haryana,HR01,Chandigarh,1100000,Sector 17 Station,220.3,PM2.5,240,Very Unhealthy
Haryana,HR02,Faridabad,1400000,Sector 15 Station,210.2,PM10,230,Very Unhealthy
Haryana,HR03,Gurugram,1000000,MG Road Station,200.1,SO2,220,Unhealthy
Haryana,HR04,Ambala,300000,Ambala Station,190.4,NOx,210,Unhealthy
Haryana,HR05,Hisar,275000,Hisar Station,180.2,PM2.5,200,Unhealthy
Haryana,HR06,Rohtak,380000,Rohtak Station,170.3,CO2,190,Unhealthy
Haryana,HR07,Panipat,320000,Panipat Station,160.5,PM10,180,Unhealthy
Haryana,HR08,Karnal,250000,Karnal Station,150.4,SO2,170,Unhealthy
Haryana,HR09,Yamunanagar,150000,Yamunanagar Station,140.2,NOx,160,Unhealthy
Haryana,HR10,Sonepat,200000,Sonepat Station,130.1,PM2.5,150,Unhealthy
Haryana,HR11,Panchkula,400000,Panchkula Station,120.3,CO2,140,Unhealthy
Haryana,HR12,Bhiwani,150000,Bhiwani Station,110.2,PM10,130,Unhealthy
Haryana,HR13,Fatehabad,130000,Fatehabad Station,100.4,SO2,120,Moderate
Haryana,HR14,Sirsa,100000,Sirsa Station,90.3,NOx,110,Moderate
Haryana,HR15,Narnaul,80000,Narnaul Station,80.2,PM2.5,100,Moderate

Punjab,PB01,Amritsar,1130000,Golden Temple Station,190.4,PM2.5,210,Unhealthy
Punjab,PB02,Ludhiana,1550000,Fattuwal Station,180.2,PM10,200,Unhealthy
Punjab,PB03,Jalandhar,850000,Jalandhar Station,170.3,SO2,190,Unhealthy
Punjab,PB04,Patiala,500000,Patiala Station,160.1,NOx,180,Unhealthy
Punjab,PB05,Mohali,370000,Mohali Station,150.5,PM2.5,170,Unhealthy
Punjab,PB06,Bathinda,300000,Bathinda Station,140.4,CO2,160,Unhealthy
Punjab,PB07,Hoshiarpur,200000,Hoshiarpur Station,130.2,PM10,150,Unhealthy
Punjab,PB08,Moga,180000,Moga Station,120.1,SO2,140,Unhealthy
Punjab,PB09,Rupnagar,150000,Rupnagar Station,110.2,NOx,130,Unhealthy
Punjab,PB10,Patiala,450000,Patiala Station,100.3,PM2.5,120,Unhealthy
Punjab,PB11,Fatehgarh Sahib,100000,Fatehgarh Sahib Station,90.4,CO2,110,Moderate
Punjab,PB12,Tarn Taran,180000,Tarn Taran Station,80.2,PM10,100,Moderate
Punjab,PB13,Bathinda,200000,Bathinda Station,70.3,SO2,90,Moderate
Punjab,PB14,Gurdaspur,120000,Gurdaspur Station,60.2,NOx,80,Good
Punjab,PB15,Jalandhar,800000,Jalandhar Station,55.4,PM2.5,70,Good

West Bengal,WB01,Kolkata,4486679,Park Street Station,220.5,PM2.5,240,Very Unhealthy
West Bengal,WB02,Howrah,1430000,Howrah Station,210.2,PM10,230,Very Unhealthy
West Bengal,WB03,Durgapur,570000,Durgapur Station,200.3,SO2,220,Unhealthy
West Bengal,WB04,Siliguri,200000,Siliguri Station,190.4,NOx,210,Unhealthy
West Bengal,WB05,Burdwan,350000,Burdwan Station,180.5,PM2.5,200,Unhealthy
West Bengal,WB06,Asansol,700000,Asansol Station,170.2,CO2,190,Unhealthy
West Bengal,WB07,Bankura,400000,Bankura Station,160.3,PM10,180,Unhealthy
West Bengal,WB08,Kolkata,1800000,Park Street Station,150.4,SO2,170,Unhealthy
West Bengal,WB09,Midnapore,120000,Midnapore Station,140.1,NOx,160,Unhealthy
West Bengal,WB10,Malda,500000,Malda Station,130.2,PM2.5,150,Unhealthy
West Bengal,WB11,Jalpaiguri,400000,Jalpaiguri Station,120.3,CO2,140,Unhealthy
West Bengal,WB12,Hooghly,300000,Hooghly Station,110.2,PM10,130,Unhealthy
West Bengal,WB13,Kalyani,250000,Kalyani Station,100.1,SO2,120,Moderate
West Bengal,WB14,Kolkata,1400000,Kolkata Station,90.2,NOx,110,Moderate
West Bengal,WB15,Raghunathganj,70000,Raghunathganj Station,80.3,PM2.5,100,Moderate

Bihar,BR01,Patna,1680000,Patna Station,210.3,PM2.5,220,Very Unhealthy
Bihar,BR02,Muzaffarpur,400000,Muzaffarpur Station,200.2,PM10,210,Very Unhealthy
Bihar,BR03,Katihar,350000,Katihar Station,190.1,SO2,200,Unhealthy
Bihar,BR04,Bhagalpur,300000,Bhagalpur Station,180.3,NOx,190,Unhealthy
Bihar,BR05,Purnia,200000,Purnia Station,170.2,PM2.5,180,Unhealthy
Bihar,BR06,Gaya,200000,Gaya Station,160.4,CO2,170,Unhealthy
Bihar,BR07,Chapra,120000,Chapra Station,150.3,PM10,160,Unhealthy
Bihar,BR08,Sasaram,100000,Sasaram Station,140.1,SO2,150,Unhealthy
Bihar,BR09,Samastipur,350000,Samastipur Station,130.2,NOx,140,Unhealthy
Bihar,BR10,Begusarai,300000,Begusarai Station,120.1,PM2.5,130,Unhealthy
Bihar,BR11,Vaishali,250000,Vaishali Station,110.4,CO2,120,Unhealthy
Bihar,BR12,Buxar,150000,Buxar Station,100.3,PM10,110,Moderate
Bihar,BR13,Motihari,120000,Motihari Station,90.2,SO2,100,Moderate
Bihar,BR14,Khagaria,80000,Khagaria Station,80.1,NOx,90,Moderate
Bihar,BR15,Siwan,60000,Siwan Station,70.3,PM2.5,80,Good

Rajasthan,RJ01,Jaipur,3070000,Malviya Nagar Station,220.5,PM2.5,240,Very Unhealthy
Rajasthan,RJ02,Jodhpur,1550000,Jodhpur Station,210.2,PM10,230,Very Unhealthy
Rajasthan,RJ03,Udaipur,600000,Udaipur Station,200.3,SO2,220,Unhealthy
Rajasthan,RJ04,Kota,1000000,Kota Station,190.4,NOx,210,Unhealthy
Rajasthan,RJ05,Ajmer,500000,Ajmer Station,180.2,PM2.5,200,Unhealthy
Rajasthan,RJ06,Bikaner,400000,Bikaner Station,170.3,CO2,190,Unhealthy
Rajasthan,RJ07,Sikar,200000,Sikar Station,160.4,PM10,180,Unhealthy
Rajasthan,RJ08,Alwar,350000,Alwar Station,150.1,SO2,170,Unhealthy
Rajasthan,RJ09,Pali,270000,Pali Station,140.2,NOx,160,Unhealthy
Rajasthan,RJ10,Churu,150000,Churu Station,130.3,PM2.5,150,Unhealthy
Rajasthan,RJ11,Barmer,100000,Barmer Station,120.4,CO2,140,Unhealthy
Rajasthan,RJ12,Nagaur,200000,Nagaur Station,110.3,PM10,130,Unhealthy
Rajasthan,RJ13,Jhalawar,180000,Jhalawar Station,100.1,SO2,120,Moderate
Rajasthan,RJ14,Bundi,150000,Bundi Station,90.2,NOx,110,Moderate
Rajasthan,RJ15,Tonk,160000,Tonk Station,80.3,PM2.5,100,Moderate

Maharashtra,MH01,Mumbai,12691836,Bandra-Kurla Complex Station,220.5,PM2.5,240,Very Unhealthy
Maharashtra,MH02,Pune,3124458,Kothrud Station,210.2,PM10,230,Very Unhealthy
Maharashtra,MH03,Nagpur,2400000,Nagpur Station,200.3,SO2,220,Unhealthy
Maharashtra,MH04,Nashik,600000,Nashik Station,190.4,NOx,210,Unhealthy
Maharashtra,MH05,Aurangabad,1200000,Aurangabad Station,180.3,PM2.5,200,Unhealthy
Maharashtra,MH06,Kolhapur,550000,Kolhapur Station,170.4,CO2,190,Unhealthy
Maharashtra,MH07,Solapur,400000,Solapur Station,160.5,PM10,180,Unhealthy
Maharashtra,MH08,Thane,1800000,Thane Station,150.1,SO2,170,Unhealthy
Maharashtra,MH09,Ratnagiri,150000,Ratnagiri Station,140.2,NOx,160,Unhealthy
Maharashtra,MH10,Satara,180000,Satara Station,130.3,PM2.5,150,Unhealthy
Maharashtra,MH11,Latur,500000,Latur Station,120.4,CO2,140,Unhealthy
Maharashtra,MH12,Jalna,400000,Jalna Station,110.2,PM10,130,Unhealthy
Maharashtra,MH13,Chandrapur,200000,Chandrapur Station,100.1,SO2,120,Moderate
Maharashtra,MH14,Beed,150000,Beed Station,90.3,NOx,110,Moderate
Maharashtra,MH15,Sindhudurg,120000,Sindhudurg Station,80.4,PM2.5,100,Moderate

Tamil Nadu,TN01,Chennai,7049441,Mount Road Station,230.5,PM2.5,240,Very Unhealthy
Tamil Nadu,TN02,Coimbatore,1000000,Coimbatore Station,220.3,PM10,230,Very Unhealthy
Tamil Nadu,TN03,Madurai,1500000,Madurai Station,210.4,SO2,220,Unhealthy
Tamil Nadu,TN04,Tiruchirappalli,920000,Tiruchirappalli Station,200.2,NOx,210,Unhealthy
Tamil Nadu,TN05,Salem,1000000,Salem Station,190.3,PM2.5,200,Unhealthy
Tamil Nadu,TN06,Erode,300000,Erode Station,180.4,CO2,190,Unhealthy
Tamil Nadu,TN07,Tirunelveli,250000,Tirunelveli Station,170.5,PM10,180,Unhealthy
Tamil Nadu,TN08,Vellore,1300000,Vellore Station,160.1,SO2,170,Unhealthy
Tamil Nadu,TN09,Nagercoil,200000,Nagercoil Station,150.3,NOx,160,Unhealthy
Tamil Nadu,TN10,Kanchipuram,300000,Kanchipuram Station,140.4,PM2.5,150,Unhealthy
Tamil Nadu,TN11,Cuddalore,350000,Cuddalore Station,130.2,CO2,140,Unhealthy
Tamil Nadu,TN12,Karur,200000,Karur Station,120.3,PM10,130,Unhealthy
Tamil Nadu,TN13,Thanjavur,150000,Thanjavur Station,110.1,SO2,120,Moderate
Tamil Nadu,TN14,Ramanathapuram,100000,Ramanathapuram Station,100.2,NOx,110,Moderate
Tamil Nadu,TN15,Tirupur,500000,Tirupur Station,90.4,PM2.5,100,Moderate

Andhra Pradesh,AP01,Visakhapatnam,2040000,Dondaparthy Station,210.3,PM2.5,220,Unhealthy
Andhra Pradesh,AP02,Vijayawada,1400000,Benz Circle Station,200.2,PM10,210,Unhealthy
Andhra Pradesh,AP03,Guntur,1500000,Guntur Station,190.1,SO2,200,Unhealthy
Andhra Pradesh,AP04,Tirupati,450000,Tirupati Station,180.3,NOx,190,Unhealthy
Andhra Pradesh,AP05,Kakinada,200000,Kakinada Station,170.2,PM2.5,180,Unhealthy
Andhra Pradesh,AP06,Rajahmundry,500000,Rajahmundry Station,160.3,CO2,170,Unhealthy
Andhra Pradesh,AP07,Nellore,600000,Nellore Station,150.4,PM10,160,Unhealthy
Andhra Pradesh,AP08,Chittoor,700000,Chittoor Station,140.1,SO2,150,Unhealthy
Andhra Pradesh,AP09,Anantapur,350000,Anantapur Station,130.2,NOx,140,Unhealthy
Andhra Pradesh,AP10,Kurnool,450000,Kurnool Station,120.3,PM2.5,130,Unhealthy
Andhra Pradesh,AP11,Srikakulam,100000,Srikakulam Station,110.4,CO2,120,Unhealthy
Andhra Pradesh,AP12,Krishna,200000,Krishna Station,100.3,PM10,110,Moderate
Andhra Pradesh,AP13,West Godavari,350000,West Godavari Station,90.1,SO2,100,Moderate
Andhra Pradesh,AP14,East Godavari,1000000,East Godavari Station,80.5,NOx,90,Good
Andhra Pradesh,AP15,Prakasam,500000,Prakasam Station,70.2,PM2.5,80,Good

Telangana,TS01,Hyderabad,6809970,Banjara Hills Station,230.4,PM2.5,240,Very Unhealthy
Telangana,TS02,Warangal,800000,Warangal Station,220.5,PM10,230,Very Unhealthy
Telangana,TS03,Khammam,400000,Khammam Station,210.3,SO2,220,Unhealthy
Telangana,TS04,Nizamabad,300000,Nizamabad Station,200.4,NOx,210,Unhealthy
Telangana,TS05,Karimnagar,300000,Karimnagar Station,190.2,PM2.5,200,Unhealthy
Telangana,TS06,Adilabad,150000,Adilabad Station,180.5,CO2,190,Unhealthy
Telangana,TS07,Khagaznagar,120000,Khagaznagar Station,170.3,PM10,180,Unhealthy
Telangana,TS08,Medak,250000,Medak Station,160.1,SO2,170,Unhealthy
Telangana,TS09,Jagitial,100000,Jagitial Station,150.4,NOx,160,Unhealthy
Telangana,TS10,Miryalaguda,350000,Miryalaguda Station,140.3,PM2.5,150,Unhealthy
Telangana,TS11,Suryapet,200000,Suryapet Station,130.2,CO2,140,Unhealthy
Telangana,TS12,Nagarkurnool,150000,Nagarkurnool Station,120.1,PM10,130,Unhealthy
Telangana,TS13,Medchal,500000,Medchal Station,110.4,SO2,120,Moderate
Telangana,TS14,Jagadgirigutta,100000,Jagadgirigutta Station,100.3,NOx,110,Moderate
Telangana,TS15,Shamshabad,600000,Shamshabad Station,90.4,PM2.5,100,Moderate

Kerala,KL01,Thiruvananthapuram,957730,MG Road Station,150.2,PM2.5,160,Unhealthy
Kerala,KL02,Kochi,601574,Marine Drive Station,140.3,PM10,150,Unhealthy
Kerala,KL03,Kozhikode,436500,Kozhikode Station,130.4,SO2,140,Unhealthy
Kerala,KL04,Thrissur,315000,Thrissur Station,120.5,NOx,130,Unhealthy
Kerala,KL05,Malappuram,1280000,Malappuram Station,110.3,PM2.5,120,Moderate
Kerala,KL06,Kottayam,508000,Kottayam Station,100.2,CO2,110,Moderate
Kerala,KL07,Alappuzha,175000,Alappuzha Station,90.3,PM10,100,Moderate
Kerala,KL08,Palakkad,270000,Palakkad Station,80.4,SO2,90,Moderate
Kerala,KL09,Wayanad,780000,Wayanad Station,70.5,NOx,80,Good
Kerala,KL10,Idukki,300000,Idukki Station,60.3,PM2.5,70,Good
Kerala,KL11,Kannur,200000,Kannur Station,50.4,CO2,60,Good
Kerala,KL12,Pathanamthitta,800000,Pathanamthitta Station,40.5,PM10,50,Good
Kerala,KL13,Kollam,400000,Kollam Station,30.6,SO2,40,Good
Kerala,KL14,Varkala,100000,Varkala Station,20.7,NOx,30,Good
Kerala,KL15,Punalur,150000,Punalur Station,10.8,PM2.5,20,Good

Odisha,OD01,Bhubaneswar,837737,Kalinga Stadium Station,210.3,PM2.5,220,Unhealthy
Odisha,OD02,Cuttack,607400,Badambadi Station,200.2,PM10,210,Unhealthy
Odisha,OD03,Rourkela,500000,Rourkela Station,190.1,SO2,200,Unhealthy
Odisha,OD04,Berhampur,360000,Berhampur Station,180.2,NOx,190,Unhealthy
Odisha,OD05,Balasore,200000,Balasore Station,170.3,PM2.5,180,Unhealthy
Odisha,OD06,Koraput,140000,Koraput Station,160.4,CO2,170,Unhealthy
Odisha,OD07,Sambalpur,250000,Sambalpur Station,150.1,PM10,160,Unhealthy
Odisha,OD08,Angul,150000,Angul Station,140.5,SO2,150,Unhealthy
Odisha,OD09,Dhenkanal,200000,Dhenkanal Station,130.3,NOx,140,Unhealthy
Odisha,OD10,Jharsuguda,170000,Jharsuguda Station,120.4,PM2.5,130,Unhealthy
Odisha,OD11,Bargarh,180000,Bargarh Station,110.2,CO2,120,Unhealthy
Odisha,OD12,Keonjhar,150000,Keonjhar Station,100.3,PM10,110,Moderate
Odisha,OD13,Nayagarh,120000,Nayagarh Station,90.4,SO2,100,Moderate
Odisha,OD14,Puri,150000,Puri Station,80.5,NOx,90,Moderate
Odisha,OD15,Khorda,150000,Khorda Station,70.3,PM2.5,80,Moderate

Assam,AS01,Guwahati,960000,Paltan Bazar Station,220.5,PM2.5,230,Very Unhealthy
Assam,AS02,Silchar,150000,Silchar Station,210.3,PM10,220,Very Unhealthy
Assam,AS03,Dibrugarh,150000,Dibrugarh Station,200.2,SO2,210,Unhealthy
Assam,AS04,Nagaon,500000,Nagaon Station,190.1,NOx,200,Unhealthy
Assam,AS05,Jorhat,150000,Jorhat Station,180.3,PM2.5,190,Unhealthy
Assam,AS06,Tinsukia,150000,Tinsukia Station,170.4,CO2,180,Unhealthy
Assam,AS07,Tezpur,100000,Tezpur Station,160.5,PM10,170,Unhealthy
Assam,AS08,Bongaigaon,100000,Bongaigaon Station,150.2,SO2,160,Unhealthy
Assam,AS09,Golaghat,120000,Golaghat Station,140.3,NOx,150,Unhealthy
Assam,AS10,Barpeta,100000,Barpeta Station,130.4,PM2.5,140,Unhealthy
Assam,AS11,Karimganj,120000,Karimganj Station,120.5,CO2,130,Unhealthy
Assam,AS12,Sibsagar,100000,Sibsagar Station,110.3,PM10,120,Moderate
Assam,AS13,Lakhimpur,150000,Lakhimpur Station,100.4,SO2,110,Moderate
Assam,AS14,Hojai,100000,Hojai Station,90.3,NOx,100,Moderate
Assam,AS15,Darrang,100000,Darrang Station,80.2,PM2.5,90,Moderate

Meghalaya,ML01,Shillong,143000,Laitumkhrah Station,140.3,PM2.5,150,Unhealthy
Meghalaya,ML02,Tura,75000,Tura Station,130.5,PM10,140,Unhealthy
Meghalaya,ML03,Jowai,50000,Jowai Station,120.4,SO2,130,Unhealthy
Meghalaya,ML04,Nongpoh,20000,Nongpoh Station,110.2,NOx,120,Unhealthy
Meghalaya,ML05,Mawkyrwat,12000,Mawkyrwat Station,100.5,PM2.5,110,Moderate
Meghalaya,ML06,Williamnagar,10000,Williamnagar Station,90.4,CO2,100,Moderate
Meghalaya,ML07,Baghmara,10000,Baghmara Station,80.2,PM10,90,Moderate
Meghalaya,ML08,Nongstoin,10000,Nongstoin Station,70.3,SO2,80,Good
Meghalaya,ML09,Cherra,8000,Cherra Station,60.4,NOx,70,Good
Meghalaya,ML10,Ranikor,8000,Ranikor Station,50.5,PM2.5,60,Good
Meghalaya,ML11,Pynursla,10000,Pynursla Station,40.3,CO2,50,Good
Meghalaya,ML12,Nongpoh,15000,Nongpoh Station,30.4,PM10,40,Good
Meghalaya,ML13,Nongtalang,2000,Nongtalang Station,20.2,SO2,30,Good
Meghalaya,ML14,Mawphlang,2000,Mawphlang Station,10.3,NOx,20,Good
Meghalaya,ML15,Sohra,5000,Sohra Station,5.4,PM2.5,10,Good

Manipur,MN01,Imphal,270000,Khuyathong Station,140.5,PM2.5,150,Unhealthy
Manipur,MN02,Bishnupur,120000,Bishnupur Station,130.2,PM10,140,Unhealthy
Manipur,MN03,Thoubal,100000,Thoubal Station,120.3,SO2,130,Unhealthy
Manipur,MN04,Churachandpur,70000,Churachandpur Station,110.2,NOx,120,Unhealthy
Manipur,MN05,Ukhrul,50000,Ukhrul Station,100.1,PM2.5,110,Moderate
Manipur,MN06,Senapati,35000,Senapati Station,90.3,CO2,100,Moderate
Manipur,MN07,Kangpokpi,35000,Kangpokpi Station,80.2,PM10,90,Moderate
Manipur,MN08,Noney,30000,Noney Station,70.3,SO2,80,Good
Manipur,MN09,Chandel,20000,Chandel Station,60.4,NOx,70,Good
Manipur,MN10,Tamenglong,15000,Tamenglong Station,50.5,PM2.5,60,Good
Manipur,MN11,Moreh,10000,Moreh Station,40.6,CO2,50,Good
Manipur,MN12,Kakching,25000,Kakching Station,30.7,PM10,40,Good
Manipur,MN13,Jiribam,20000,Jiribam Station,20.8,SO2,30,Good
Manipur,MN14,Andro,10000,Andro Station,10.9,NOx,20,Good
Manipur,MN15,Khongjom,8000,Khongjom Station,5.4,PM2.5,10,Good

Nagaland,NL01,Kohima,300000,Kohima Station,150.3,PM2.5,160,Unhealthy
Nagaland,NL02,Dimapur,400000,Dimapur Station,140.2,PM10,150,Unhealthy
Nagaland,NL03,Mokokchung,100000,Mokokchung Station,130.4,SO2,140,Unhealthy
Nagaland,NL04,Mon,70000,Mon Station,120.3,NOx,130,Unhealthy
Nagaland,NL05,Zunheboto,50000,Zunheboto Station,110.2,PM2.5,120,Unhealthy
Nagaland,NL06,Tuensang,35000,Tuensang Station,100.5,CO2,110,Moderate
Nagaland,NL07,Phek,30000,Phek Station,90.2,PM10,100,Moderate
Nagaland,NL08,Longleng,20000,Longleng Station,80.1,SO2,90,Moderate
Nagaland,NL09,Wokha,25000,Wokha Station,70.3,NOx,80,Good
